,ndcg@1000,map@1000,precision@20
COM,0.0330178071862296,0.021530237381150702,0.04999999999999999
sa3,0.021130980028319674,0.013826745576224667,0.018333333333333285
AGG,-0.005148027985066028,0.003252689299023198,-0.018333333333333313
cbnuSA2,0.07637402227991291,0.049427360988803924,0.1383333333333334
UWMSOIS8,0.017392855131595886,0.015250728559218135,0.021666666666666667
SIBTMlit3,-0.002986495890980101,-0.003894586689087154,-0.08333333333333337
mRun2BslOth,0.008849025975917468,0.004338060953979372,-0.038333333333333275
ws,0.03842257534220744,0.035836992321429895,0.0616666666666667
mayonlppm3,0.008922054044449956,0.009065874156976239,-0.0033333333333334103
POZabsLGDGRn,0.011148810709003587,0.005196242564295586,-0.015000000000000013
UDInfoPMSA3,-0.0017674331901284535,-0.002261850409188443,-0.015000000000000069
NOVAsa3,0.05323741296005413,0.03526512618274116,0.08666666666666667
UNTIIASY,-0.022495106408745302,-0.0235676816162652,-0.1233333333333334
abs,-0.016200406570980153,-0.01823399920958002,-0.09000000000000008
mRun3MRF,-0.0016006040713108516,0.00414016874778661,-0.026666666666666616
UTDHLTFF,-0.03480150540893823,-0.041554319163342235,-0.1316666666666667
SIBTMlit2,-0.00711123207086839,-0.005471695988530811,-0.0683333333333333
mugpubshould,0.021199075497903508,0.018490518705094022,0.009999999999999898
Textual,-0.004603819852570468,0.004541077689327239,-0.016666666666666607
kkseabs3,0.024495055388023476,0.009704205869103087,0.07666666666666665
UWMSOIS7,0.007974605444664329,0.011352509635490698,0.038333333333333275
GP16Medline,0.0169456016038729,0.007674636723307936,0.02833333333333332
UDInfoPMSA5,0.006439921219560496,0.002000396165847018,-0.0033333333333334103
udelT1Gene,0.014933825723458749,0.014861006888298972,-0.0016666666666667052
cbnuSA1,0.0025076265778859463,-0.00021238913196069964,-0.028333333333333488
UCASBASEa,0.009353283801940726,-0.0005284456237503732,-0.028333333333333488
KISTI01,0.017781753895368013,0.01763265941590761,0.04166666666666663
