,ndcg@1000,map@1000,precision@20
cbnuSA2,-0.02562290919705068,-0.02983272293385203,-0.09125000000000005
SIBTMlit3,-0.004034964387722884,0.0025993238794503326,-0.07125000000000004
t,-0.019012712714692792,-0.029994641962494045,-0.13124999999999998
rr,-0.004624561477316214,-0.009988720137597079,-0.05374999999999991
DutirRun4,-0.0467228922167916,-0.06751238337913862,-0.19249999999999995
jlpmtrboost,-0.01568119349792013,-0.017501564085723703,-0.12499999999999994
BM25neopcomd,-0.02486034158341388,-0.0403576518026916,-0.14375000000000004
mug2,-0.03896812633838198,-0.05371358084636932,-0.14249999999999996
base,-0.004132859857744364,-0.008836021813224099,-0.06500000000000006
sa1,-0.03704213863288619,-0.05684949881527174,-0.21249999999999997
SIBTMlit2,-0.039051657802249506,-0.04414155177238313,-0.20875
mug1,-0.020232877501115354,-0.03934837973028696,-0.13874999999999993
absrun2,0.011452805420098022,0.009262818078619131,-0.028749999999999998
cbnuSA4,-0.018885140770761144,-0.02039622757741813,-0.10125000000000006
mug3,-0.03843508157838316,-0.04363920085078274,-0.10749999999999998
MedIR1,-0.022534207223954106,-0.037691717554385856,-0.1775
cbnuSA1,-0.024397957035240836,-0.027259453133989614,-0.06874999999999998
ft,-0.005756422706187814,-0.010843706220232785,-0.05999999999999994
letor,-0.024168048031746325,-0.030503487616220626,-0.1337500000000001
SIBTMlit4,-0.039051657802249506,-0.04414155177238313,-0.20875
BM25neopgngm,-0.021904156267738784,-0.0386927100860151,-0.14
BM25neop01,-0.0244445910820017,-0.040501932235703475,-0.14750000000000002
MedIR2,-0.019271338801476967,-0.028795640679847606,-0.15499999999999992
run3,0.007899734705600014,0.00879943268299943,-0.05125000000000002
bc,-0.04232280262312982,-0.052542752029017176,-0.17125
top4fusion,-0.022880746330586454,-0.041142798831340865,-0.15874999999999995
run1,-0.014688467628144464,-0.023062933636743665,-0.11250000000000004
sa4,-0.013527265943878986,-0.035640116818145495,-0.16499999999999998
DutirRun3,-0.04605110451016159,-0.0654910555978424,-0.1712499999999999
MedIR5,-0.01639489938433869,-0.0320049489834196,-0.10749999999999993
DutirRun1,-0.046720144566185895,-0.06572967139432154,-0.19375000000000003
run5,0.015833434416236303,0.016476540573676243,-0.01874999999999999
default1m,0.013132643931224045,0.004199000192555833,0.04625000000000001
sa3,-0.005584452807585016,-0.028219771899787388,-0.15625000000000006
8435,-0.001738972252570914,-0.0050847032285155636,-0.0050000000000001155
MedIR4,-0.010362884684919305,-0.025289557785571848,-0.10625000000000001
BM25,-0.02859571633380875,-0.04406321192325141,-0.15125
MedIR3,-0.02544864145683401,-0.038018423416144836,-0.16125
DutirRun2,-0.04505044112664114,-0.06735824411446725,-0.17999999999999994
jlpmtrcommon,-0.01257063484162399,-0.013148597044196991,-0.10000000000000003
absrun1,0.00927867251885034,0.00729975519673709,-0.008750000000000036
jlpmletor,0.05212555297667543,0.06263411169407176,0.0037499999999999756
sa2,-0.03355260246673053,-0.052828051352187905,-0.22499999999999998
default100k,0.001971941355132444,0.0005705647104171103,-0.007499999999999993
SIBTMlit5,-0.03927764118390442,-0.04719877508362394,-0.2087500000000001
run2,-0.024305809767143693,-0.02914875811942383,-0.18125000000000002
DutirRun5,-0.04859336878354581,-0.06786185125154548,-0.18125000000000002
SIBTMlit1,-0.036535790010580826,-0.04135272394056344,-0.19999999999999996
sa5,-0.023571715289096073,-0.03472505825806149,-0.13750000000000007
jlpmltrin,0.09457315489312079,0.09064119647169142,0.10124999999999995
SAsimpleLGD,-0.04306109251564183,-0.059694122299695174,-0.16999999999999987
cbnuSA3,-0.015888207565487866,-0.01692120638991093,-0.08874999999999994
run4,0.020034279462173732,0.01927966209302648,0.006249999999999922
5113,0.007313475519156232,0.0032118783478342072,0.023749999999999993
9464,-0.029063077436336293,-0.04065233085291356,-0.11500000000000005
6801,-0.022277004524838495,-0.04206502439774981,-0.13125000000000003
jlpmcommon2,-0.05390839865465591,-0.07984488790999067,-0.25125000000000003
BM25+d-gm,-0.020595254448916578,-0.029581077562087277,-0.05249999999999999
BM25+d+gm,-0.020532686374157394,-0.027280706995091775,-0.04999999999999999
BM25-d-gm,-0.030200642086107232,-0.0455705846087999,-0.10125
BM25-d+gm,-0.02330256184992935,-0.0416404681997074,-0.09125
